List1,List2
"0,000","327,103"
"0,000","359,813"
"-0,043","406,542"
"0,000","457,944"
"0,086","500,000"
"0,345","528,037"
"0,604","560,748"
"0,993","588,785"
"1,295","612,150"
"1,640","630,841"
"1,986","654,206"
"2,331","672,897"
"2,633","691,589"
"2,935","714,953"
"3,281","724,299"
"3,626","742,991"
"3,971","757,009"
"4,317","775,701"
"4,705","789,720"
"4,964","803,738"
"5,180","808,411"
"5,482","817,757"
"5,827","831,776"
"6,173","841,121"
"6,518","850,467"
"6,950","859,813"
"7,468","869,159"
"7,942","878,505"
"8,460","887,850"
"8,849","887,850"
"9,194","887,850"
"9,453","887,850"
"9,799","883,178"
"10,014","883,178"
"21,885","509,346"
