crunch, alto, facil
side crunch, obliques, medio
cuncuna, medio, medio
leg raises, bajo, dificil
side toe touch, obliques, facil
scissors, bajo, medio
toe touch(starfish), medio, dificil
8, bajo, medio
3 combo, alto, medio
banana hold, isometrico, medio
side planck (with tuck), obliques, medio
thread the needle, obliques, dificil
planck tuck and twist, obliques, dificil
elbows to knees, obliques, facil
planck elbows to knees, medio, dificil
band rotation, isometrico, dificil
planck push, serrato, dificil
side crunch (with push), serrato, medio
circle crunch, alto, medio
side planck (leg raise), isometrico, dificil
side bridge, isometrico, dificil
vacuum, bajo, medio
v sit (hold), isometrico, dificil
scrum, isometrico, dificil
bird dog, isometrico, dificil
